id,topic,first_chapter,chapters,level,type,question,status,last_practised,confidence,notes
Q88,features-model-selection,21,21 24,beginner,conceptual,Which models require feature scaling and which do not?,,,,
Q89,features-model-selection,25,25,intermediate,conceptual,"Compare grid, random, and Bayesian search.",,,,
Q90,features-model-selection,25,25,advanced,conceptual,What is nested cross-validation and why use it?,,,,
Q91,features-model-selection,25,25,intermediate,conceptual,Why sample learning rates on a log scale?,,,,
Q92,features-model-selection,25,25,intermediate,scenario,You tried 200 configurations and the best validation accuracy is 0.91. What do you report?,,,,
Q93,evaluation-metrics,14,14 22,beginner,conceptual,"When does precision matter more than recall, and vice versa?",,,,
Q94,evaluation-metrics,22,22,intermediate,conceptual,When would you report PR AUC instead of ROC AUC?,,,,
Q95,evaluation-metrics,22,22 44,intermediate,conceptual,What does calibration mean and how would you check it?,,,,
Q96,evaluation-metrics,22,22 23 43,intermediate,scenario,Your model has AUC 0.92 but is useless in production. What could explain that?,,,,
Q97,evaluation-metrics,23,23,intermediate,conceptual,How do you handle imbalanced data?,,,,
Q98,evaluation-metrics,23,23,intermediate,conceptual,Where should you set the decision threshold?,,,,
Q99,evaluation-metrics,23,23,intermediate,conceptual,What are the drawbacks of SMOTE?,,,,
Q100,evaluation-metrics,14,14 22 23,beginner,scenario,Your fraud model has 99.5% accuracy. Is it good?,,,,
Q101,evaluation-metrics,14,14 22,beginner,scenario,Why is 88% accuracy a bad result at a 12% base rate?,,,,
Q102,evaluation-metrics,22,22 14,intermediate,conceptual,"What is AUC, in one sentence?",,,,
Q103,evaluation-metrics,13,13,intermediate,conceptual,What does R-squared not tell you?,,,,
Q104,evaluation-metrics,16,16,beginner,conceptual,A colleague reports test accuracy after a week of tuning against the test set. What is wrong with the number?,,,,
Q105,evaluation-metrics,16,16 17 42,beginner,scenario,How would you explain overfitting to a non-technical stakeholder?,,,,
Q106,evaluation-metrics,16,16 28,beginner,conceptual,A forecasting model scored well on a random split and badly in production. Explain the gap.,,,,
Q107,evaluation-metrics,28,28,intermediate,scenario,"Your backtest gives MAEs of 180, 195, 172, 188, and 910. What do you report?",,,,
Q108,evaluation-metrics,29,29,intermediate,conceptual,What is wrong with the feature importance a tree model gives you for free?,,,,
Q109,unsupervised,26,26,beginner,conceptual,How do you choose the number of clusters?,,,,
Q110,unsupervised,26,26,intermediate,conceptual,When would you use DBSCAN instead of k-means?,,,,
Q111,unsupervised,26,26,beginner,conceptual,What are the main limitations of k-means?,,,,
Q112,unsupervised,26,26,intermediate,conceptual,How do you know a clustering is actually meaningful?,,,,
Q113,unsupervised,27,27 9,intermediate,conceptual,How does PCA work?,,,,
Q114,unsupervised,27,27,intermediate,conceptual,Why can’t you trust cluster distances in a t-SNE plot?,,,,
Q115,unsupervised,27,27,intermediate,conceptual,When would you use PCA versus t-SNE or UMAP?,,,,
Q116,unsupervised,27,27,beginner,conceptual,Does PCA perform feature selection?,,,,
Q117,deep-learning,32,32,beginner,conceptual,Why use convolutions instead of dense layers for images?,,,,
Q118,deep-learning,34,34,intermediate,conceptual,What problem do residual connections solve?,,,,
Q119,deep-learning,32,32,intermediate,conceptual,Compute the output size of a convolution.,,,,
Q120,deep-learning,32,32,intermediate,conceptual,What is a receptive field and why does it grow with depth?,,,,
Q121,deep-learning,33,33,intermediate,conceptual,Why do recurrent networks struggle with long sequences?,,,,
Q122,deep-learning,33,33,intermediate,conceptual,What did attention add to sequence-to-sequence models?,,,,
Q123,deep-learning,33,33 34,intermediate,conceptual,Why did attention replace recurrence rather than complement it?,,,,
Q124,deep-learning,33,33,intermediate,conceptual,How does an LSTM mitigate vanishing gradients?,,,,
Q125,deep-learning,34,34,intermediate,conceptual,Write the scaled dot-product attention formula and explain each term.,,,,
Q126,deep-learning,34,34,advanced,conceptual,Why divide by the square root of the key dimension?,,,,
Q127,deep-learning,34,34,intermediate,conceptual,How does a transformer know the order of tokens?,,,,
Q128,deep-learning,34,34,intermediate,conceptual,What is the computational complexity of self-attention and why does it matter?,,,,
Q129,deep-learning,35,35 39,beginner,conceptual,What is the difference between feature extraction and fine-tuning?,,,,
Q130,deep-learning,35,35 9 38,beginner,conceptual,"What is an embedding, and why use cosine similarity?",,,,
Q131,deep-learning,35,35,intermediate,conceptual,What is catastrophic forgetting and how do you reduce it?,,,,
Q132,deep-learning,35,35 39,intermediate,scenario,When would you not fine-tune at all?,,,,
Q133,llms-modern-ai,36,36,intermediate,conceptual,What is the Chinchilla finding and why did it matter?,,,,
Q134,llms-modern-ai,36,36,beginner,conceptual,Explain temperature and top-p sampling.,,,,
Q135,llms-modern-ai,36,36,beginner,conceptual,What is byte pair encoding and why do models use subword tokens?,,,,
Q136,llms-modern-ai,36,36,beginner,conceptual,Why do language models struggle to count letters in a word?,,,,
Q137,llms-modern-ai,38,38 39,intermediate,scenario,RAG or fine-tuning — how do you decide?,,,,
Q138,llms-modern-ai,39,39,intermediate,conceptual,How does LoRA work and why is it cheap?,,,,
Q139,llms-modern-ai,38,38,intermediate,scenario,Your RAG system gives wrong answers. How do you debug it?,,,,
Q140,llms-modern-ai,38,38 40,intermediate,conceptual,How do you reduce hallucination in a generative system?,,,,
Q141,llms-modern-ai,37,37,advanced,conceptual,"What does the KL penalty do in RLHF, and what happens without it?",,,,
Q142,llms-modern-ai,37,37,advanced,scenario,Your RLHF run shows reward climbing steadily. Why is that not sufficient evidence?,,,,
Q143,ai-systems-agents,40,40,intermediate,scenario,How would you evaluate a new generative feature?,,,,
Q144,ai-systems-agents,40,40,intermediate,conceptual,What are the pitfalls of using an LLM as a judge?,,,,
Q145,ai-systems-agents,40,40,beginner,conceptual,Why not just rely on public benchmarks?,,,,
Q146,ai-systems-agents,38,38 40,intermediate,conceptual,How do you measure hallucination in a RAG system?,,,,
Q147,ai-systems-agents,41,41,intermediate,conceptual,What are the common failure modes of agents?,,,,
Q148,ai-systems-agents,41,41,beginner,scenario,When would you use an agent rather than a single prompt?,,,,
Q149,ai-systems-agents,41,41,intermediate,conceptual,What is prompt injection and how do you defend against it?,,,,
Q150,ai-systems-agents,41,41,intermediate,conceptual,How does per-step reliability affect agent design?,,,,
Q151,ai-systems-agents,38,38,intermediate,scenario,"Retrieval recall at k is 0.95, but answers are still wrong. Where do you look next?",,,,
Q152,ai-systems-agents,38,38,advanced,conceptual,Why is a similarity threshold an incomplete defence against answering out-of-scope questions?,,,,
Q153,production-mlops,43,43,intermediate,conceptual,How do you detect that a deployed model is degrading?,,,,
Q154,production-mlops,43,43,intermediate,conceptual,"Distinguish data drift from concept drift, and say why the distinction matters.",,,,
Q155,production-mlops,43,43,intermediate,conceptual,What is training-serving skew and how do you prevent it?,,,,
Q156,production-mlops,43,43,intermediate,conceptual,How would you deploy a new model safely?,,,,
Q157,responsible-ai,44,44,advanced,conceptual,Name several fairness metrics and explain why you cannot satisfy them all.,,,,
Q158,responsible-ai,29,29 45,intermediate,conceptual,"How do SHAP and LIME differ, and when would you reach for each?",,,,
Q159,responsible-ai,44,44,beginner,conceptual,A model does not use race as a feature. Can it still be discriminatory?,,,,
Q160,responsible-ai,44,44,intermediate,conceptual,How would you govern a machine learning system in production?,,,,
Q161,responsible-ai,29,29 44,intermediate,scenario,"A model declines someone's application. What do you owe them, and which method provides it?",,,,
Q162,responsible-ai,29,29,intermediate,scenario,Two of your features are correlated at 0.95. What will importance methods report?,,,,
Q163,ml-system-design,22,22 23 42 43,advanced,scenario,Design a system to recommend products to users.,,,,
Q164,ml-system-design,22,22 23 43,advanced,scenario,Design a fraud detection system for card transactions.,,,,
Q165,ml-system-design,38,38 40,advanced,scenario,Design a retrieval-augmented question answering system over company documents.,,,,
Q166,ml-system-design,43,43,advanced,scenario,How would you serve a model with a 50 millisecond latency budget?,,,,
Q167,ml-system-design,43,43,intermediate,scenario,How do you decide between batch and online inference?,,,,
Q168,business-case,1,1,intermediate,scenario,A stakeholder wants to add AI to a workflow. How do you evaluate whether it is worth doing?,,,,
Q169,business-case,42,42 43,intermediate,scenario,Your model is accurate but adoption is low. What do you investigate?,,,,
Q170,business-case,15,15 43,intermediate,scenario,How would you measure the business value of a deployed model?,,,,
Q171,business-case,1,1,intermediate,scenario,An executive asks whether you should build or buy an AI capability.,,,,
Q172,business-case,42,42 8,intermediate,scenario,How do you explain model uncertainty to a non-technical audience?,,,,
Q173,business-case,42,42,beginner,scenario,A stakeholder wants a dashboard showing everything. What do you ask?,,,,
Q174,business-case,1,1 12,intermediate,scenario,Revenue is down 8%. How do you investigate?,,,,
Q175,business-case,42,42,intermediate,scenario,Your analysis contradicts what a senior stakeholder believes. What do you do?,,,,
Q176,business-case,42,42,intermediate,scenario,How do you handle a request for a number by end of day when the data is messy?,,,,
Q177,business-case,8,8 15,intermediate,scenario,"A model would improve conversion by 0.02 percentage points, significantly. Ship it?",,,,
Q178,business-case,44,44,intermediate,scenario,What would make you refuse to run an analysis?,,,,
Q179,behavioural,,,any,behavioural,Tell me about a model or analysis that failed. What happened?,,,,
Q180,behavioural,,,any,behavioural,Describe a time you disagreed with a stakeholder about an approach.,,,,
Q181,behavioural,23,23 43 44,any,behavioural,How do you decide when a model is good enough to ship?,,,,
Q182,behavioural,45,45,any,behavioural,How do you keep current in a field that changes this quickly?,,,,
Q183,behavioural,1,1,any,behavioural,You are given a vague request with no clear success metric. What do you do?,,,,
Q184,behavioural,,,any,behavioural,How do you prioritize when three people want three things?,,,,
Q185,behavioural,1,1,any,behavioural,Why analytics?,,,,
Q186,python-pandas-data,3,3 4,beginner,coding,"Using only the csv module, count the rows in retail.csv and total the Quantity column.",,,,
Q187,python-pandas-data,3,3,beginner,coding,"Write a function that computes the revenue of one order line and another that totals an invoice, so that the results can be reused rather than printed.",,,,
Q188,python-pandas-data,3,3 4,beginner,coding,Total revenue (Quantity × UnitPrice) per Category using only the csv module and a dictionary.,,,,
Q189,python-pandas-data,3,3 11,intermediate,coding,Count the distinct invoices in each calendar month of retail.csv using the standard library.,,,,
Q190,python-pandas-data,11,11,intermediate,coding,"Find the rows of retail.csv that appear more than once, and count how many extra copies the file holds.",,,,
Q191,python-pandas-data,11,11,beginner,coding,Count the rows of retail.csv with no CustomerID and report them as a share of all rows.,,,,
Q192,python-pandas-data,3,3,beginner,coding,"List the n best-selling products in retail.csv by total quantity, highest first.",,,,
Q193,python-pandas-data,3,3 11,intermediate,coding,"Write a parser that turns a text field into a float without crashing on empty or malformed values, then use it to compute the mean total of the non-cancelled invoices.",,,,
Q194,python-pandas-data,3,3,beginner,coding,"Build a dictionary from invoice number to the number of order lines it has, and count the invoices with more than a given number of lines.",,,,
Q195,python-pandas-data,3,3 28,intermediate,coding,"Aggregate daily revenue to months, then write a function that returns the month-over-month growth of any monthly series.",,,,
Q196,python-pandas-data,4,4 11,beginner,coding,"Write the file check you would run before any analysis: rows, columns, missing values, exact duplicates and the date range.",,,,
Q197,python-pandas-data,4,4 11,intermediate,coding,"Test whether a set of columns identifies a row uniquely, drop exact duplicates, and find out what one row of retail.csv really represents.",,,,
Q198,python-pandas-data,4,4,intermediate,coding,Attach each order line's invoice total to the line with a merge that asserts the many-to-one relationship.,,,,
Q199,python-pandas-data,4,4,beginner,coding,"Build a Country × Category table of total revenue with pivot_table, with zeros where a combination has no sales.",,,,
Q200,python-pandas-data,4,4,beginner,coding,Select the order lines that are either a bulk Beans purchase (ten or more units) or shipped to France.,,,,
Q201,python-pandas-data,11,11,intermediate,coding,"Report revenue per category twice: gross, excluding cancellation lines, and net, including them.",,,,
Q202,python-pandas-data,11,11 24,intermediate,coding,"Fill the missing AnnualIncome values in customers.csv with the median income of each customer's Plan, and count what you filled.",,,,
Q203,python-pandas-data,11,11 12,intermediate,coding,Parse the signup dates in customers.csv and compute the churn rate of each signup year.,,,,
Q204,python-pandas-data,4,4,intermediate,coding,Compute each order line's share of its invoice's revenue without collapsing the frame.,,,,
Q205,python-pandas-data,28,28,beginner,coding,Turn daily revenue into weekly means and find the best week.,,,,
Q206,python-pandas-data,12,12 14,beginner,coding,Cross-tabulate attrition rate by Department and OverTime in hr.csv and find the riskiest combination.,,,,
Q207,python-pandas-data,22,22 23,beginner,coding,"Compute the fraud base rate in transactions.csv and the fraud rate by hour of day, and find the riskiest hour.",,,,
Q208,sql,5,5,beginner,coding,"Write the query that returns total revenue per category, highest first.",,,,
Q209,sql,5,5,beginner,coding,"List the countries whose revenue from Beans exceeds 6,000, using WHERE for the rows and HAVING for the groups.",,,,
Q210,sql,5,5,intermediate,coding,"For each category, return its top product by revenue, using ROW_NUMBER in a CTE.",,,,
Q211,sql,5,5,intermediate,coding,"Find the invoice with the second-highest total revenue, using DENSE_RANK so that ties are handled.",,,,
Q212,sql,5,5,intermediate,coding,"Count the rows that remain after exact duplicates are removed, using ROW_NUMBER over every column.",,,,
Q213,sql,5,5,intermediate,coding,"Compute each month's revenue, the previous month's revenue, and the growth between them.",,,,
Q214,sql,5,5,beginner,coding,"Count all rows, the rows with a customer, and the rows without one, in a single query.",,,,
Q215,sql,5,5,intermediate,coding,"Compute the average number of order lines per invoice in each country, aggregating in two steps.",,,,
Q216,sql,5,5,intermediate,coding,"List the customers with at least five invoices, with their invoice count and total revenue.",,,,
Q217,sql,5,5,intermediate,coding,Compute the cumulative revenue month by month with a window frame stated explicitly.,,,,
Q218,sql,5,5,intermediate,coding,Report each month's gross revenue (cancellations excluded) and net revenue (cancellations included) in one query.,,,,
Q219,sql,5,5,intermediate,coding,Compute a three-month moving average of monthly revenue with a bounded window frame.,,,,
Q220,challenges,1,1 4 11 12,intermediate,coding,"Summarize a year of retail.csv the way a first analysis brief would: net revenue, the cost of cancellations, the best and worst months, the leading category and how much repeat business there is.",,,,
Q221,challenges,14,14 16 22,intermediate,coding,"Build a logistic-regression baseline for attrition in hr.csv with a proper split, and report what it beats.",,,,
Q222,challenges,22,22 23,advanced,coding,"Train a fraud classifier on transactions.csv and pick the decision threshold that reaches a required recall, then report what it costs in precision.",,,,
Q223,challenges,16,16 24 25,intermediate,coding,"Measure how much a leaky preprocessing step changes a cross-validated score on customers.csv, by running the same model with and without the leak.",,,,
Q224,challenges,28,28,intermediate,coding,"Hold out the last 90 days of daily revenue and measure three baselines any forecasting model has to beat: the training mean, the last value, and the seasonal naive.",,,,
Q225,challenges,26,26 27,intermediate,coding,Cluster segments.csv with k-means and measure the result two ways: against the true segment labels and without them.,,,,
Q226,challenges,4,4 11 26,advanced,coding,"Build an RFM table for the identified customers in retail.csv, score each dimension into quartiles, and count the top segment.",,,,
Q227,challenges,8,8 15 42,intermediate,coding,"Compare attrition between employees who work overtime and those who do not, with a confidence interval and a p-value, and say what the numbers do and do not show.",,,,
